codigo,familia,nivel1,nivel2,nivel3,tipo_permitido,nombre_glpi_completo,descripcion
APL-01,APL,APL - Falla de aplicación,APL-01 Bloqueo o no responde,,I,APL - Falla de aplicación > APL-01 Bloqueo o no responde,La aplicación está abierta pero se congela o no responde a ninguna acción.
APL-02,APL,APL - Falla de aplicación,APL-02 No permite recaudar,,I,APL - Falla de aplicación > APL-02 No permite recaudar,La aplicación de carril está activa pero no permite registrar o cobrar transacciones.
APL-03,APL,APL - Falla de aplicación,APL-03 Servicio o página caída,,I,APL - Falla de aplicación > APL-03 Servicio o página caída,La aplicación o página no está disponible para ningún usuario.
APL-04,APL,APL - Falla de aplicación,APL-04 Lentitud,,I,APL - Falla de aplicación > APL-04 Lentitud,"La aplicación responde, pero con tiempos anormalmente altos."
APL-05,APL,APL - Falla de aplicación,APL-05 Error funcional (otro),,I,APL - Falla de aplicación > APL-05 Error funcional (otro),La aplicación muestra un error o ejecuta mal una función y no existe categoría más específica.
CAR-01,CAR,CAR - Dispositivos de vía,CAR-01 Talanquera,,I/S,CAR - Dispositivos de vía > CAR-01 Talanquera,Falla o configuración de la talanquera del carril.
CAR-02,CAR,CAR - Dispositivos de vía,CAR-02 Talanquera con daño a vehículo o tercero,,I,CAR - Dispositivos de vía > CAR-02 Talanquera con daño a vehículo o tercero,La talanquera golpeó o generó daño a un vehículo o persona.
CAR-03,CAR,CAR - Dispositivos de vía,CAR-03 Sensores y detectores de vehículos,,I/S,CAR - Dispositivos de vía > CAR-03 Sensores y detectores de vehículos,"Falla o ajuste de sensores de detección de vehículos (detector de vehículos, sensor de paso, detector de llantas)."
CAR-04,CAR,CAR - Dispositivos de vía,CAR-04 Poste óptico / DAC,,I/S,CAR - Dispositivos de vía > CAR-04 Poste óptico / DAC,Falla o configuración de los postes ópticos / DAC.
CAR-05,CAR,CAR - Dispositivos de vía,CAR-05 Antena de telepeaje,,I/S,CAR - Dispositivos de vía > CAR-05 Antena de telepeaje,Falla o configuración de la antena de telepeaje.
CAR-06,CAR,CAR - Dispositivos de vía,CAR-06 Cámara LPR,,I/S,CAR - Dispositivos de vía > CAR-06 Cámara LPR,Falla o configuración de cámara de reconocimiento de placas (LPR).
CAR-07,CAR,CAR - Dispositivos de vía,CAR-07 Cámara de video,,I/S,CAR - Dispositivos de vía > CAR-07 Cámara de video,Falla o configuración de cámara de video del carril.
CAR-08,CAR,CAR - Dispositivos de vía,CAR-08 Lector de tarjetas,,I/S,CAR - Dispositivos de vía > CAR-08 Lector de tarjetas,Falla o configuración del lector de tarjetas.
CAR-09,CAR,CAR - Dispositivos de vía,CAR-09 Control de colas,,I/S,CAR - Dispositivos de vía > CAR-09 Control de colas,Falla o ajuste del control de colas. (Validar en piloto si es dispositivo o función de la consola.)
EQP-01,EQP,EQP - Equipos de cómputo,EQP-01 PC de carril / consola Posiflex,,I/S,EQP - Equipos de cómputo > EQP-01 PC de carril / consola Posiflex,"Falla, instalación o configuración del equipo de cómputo del carril (incluye consola Posiflex)."
EQP-02,EQP,EQP - Equipos de cómputo,EQP-02 PC de reportes,,I/S,EQP - Equipos de cómputo > EQP-02 PC de reportes,"Falla, instalación o configuración del PC de reportes."
EQP-03,EQP,EQP - Equipos de cómputo,EQP-03 NVR / PC de video,,I/S,EQP - Equipos de cómputo > EQP-03 NVR / PC de video,Falla o configuración del NVR o PC de video.
EQP-04,EQP,EQP - Equipos de cómputo,EQP-04 Servidor de estación,,I/S,EQP - Equipos de cómputo > EQP-04 Servidor de estación,Falla o configuración del servidor principal o de backup de la estación. Indicar cuál en el título.
EQP-05,EQP,EQP - Equipos de cómputo,EQP-05 Impresora,,I/S,EQP - Equipos de cómputo > EQP-05 Impresora,Falla o configuración de impresora.
EQP-06,EQP,EQP - Equipos de cómputo,"EQP-06 Monitor, teclado y periféricos de usuario",,I/S,"EQP - Equipos de cómputo > EQP-06 Monitor, teclado y periféricos de usuario","Falla o configuración de monitor, teclado u otros periféricos de usuario."
RED-01,RED,RED - Red y conectividad,RED-01 Caída de enlace / sin conexión,,I,RED - Red y conectividad > RED-01 Caída de enlace / sin conexión,Pérdida total de conectividad de red.
RED-02,RED,RED - Red y conectividad,RED-02 Intermitencia,,I,RED - Red y conectividad > RED-02 Intermitencia,La conexión existe pero se corta o degrada de forma intermitente.
RED-03,RED,RED - Red y conectividad,RED-03 Reglas de acceso de red (IP / puertos),,S,RED - Red y conectividad > RED-03 Reglas de acceso de red (IP / puertos),"Solicitud para permitir, restringir o modificar acceso por IP o puertos."
BDD-01,BDD,BDD - Base de datos,BDD-01 Bloqueo de base de datos,,I,BDD - Base de datos > BDD-01 Bloqueo de base de datos,Bloqueos (locks) o sesiones bloqueadas en la BD.
BDD-02,BDD,BDD - Base de datos,BDD-02 Lentitud de base de datos,,I,BDD - Base de datos > BDD-02 Lentitud de base de datos,Rendimiento degradado confirmado en la BD.
BDD-03,BDD,BDD - Base de datos,BDD-03 Listener / conexión a BD,,I,BDD - Base de datos > BDD-03 Listener / conexión a BD,El listener o servicio de conexión a la BD no responde.
ACC-01,ACC,ACC - Cuentas y accesos,ACC-01 Creación de usuario,,S,ACC - Cuentas y accesos > ACC-01 Creación de usuario,Alta de un usuario nuevo en cualquier plataforma (la plataforma va en Aplicación).
ACC-02,ACC,ACC - Cuentas y accesos,ACC-02 Modificación de usuario o permisos,,S,ACC - Cuentas y accesos > ACC-02 Modificación de usuario o permisos,"Cambios de datos, rol o permisos de un usuario existente."
ACC-03,ACC,ACC - Cuentas y accesos,ACC-03 Retiro / inactivación de usuario,,S,ACC - Cuentas y accesos > ACC-03 Retiro / inactivación de usuario,Baja o inactivación de un usuario.
ACC-04,ACC,ACC - Cuentas y accesos,ACC-04 Desbloqueo o restablecimiento de contraseña,,S,ACC - Cuentas y accesos > ACC-04 Desbloqueo o restablecimiento de contraseña,"Desbloqueo de cuenta o reseteo de contraseña en cualquier plataforma (aplicación, BD, correo, dominio)."
DAT-01,DAT,DAT - Transmisión e integridad de datos,DAT-01 Represamiento de información,,I,DAT - Transmisión e integridad de datos > DAT-01 Represamiento de información,La información se acumula sin transmitirse (cola pendiente de envío).
DAT-02,DAT,DAT - Transmisión e integridad de datos,DAT-02 Falla de sincronización,,I,DAT - Transmisión e integridad de datos > DAT-02 Falla de sincronización,El proceso de sincronización falla o deja la información desigual entre origen y destino.
DAT-03,DAT,DAT - Transmisión e integridad de datos,DAT-03 Información incompleta de carril,,I,DAT - Transmisión e integridad de datos > DAT-03 Información incompleta de carril,Los datos del carril llegan con campos o registros faltantes.
DAT-04.1,DAT,DAT - Transmisión e integridad de datos,DAT-04 Registro duplicado,DAT-04.1 Transacción duplicada,I,DAT - Transmisión e integridad de datos > DAT-04 Registro duplicado > DAT-04.1 Transacción duplicada,Registro duplicado: transacción duplicada.
DAT-04.2,DAT,DAT - Transmisión e integridad de datos,DAT-04 Registro duplicado,DAT-04.2 Vehículo duplicado,I,DAT - Transmisión e integridad de datos > DAT-04 Registro duplicado > DAT-04.2 Vehículo duplicado,Registro duplicado: vehículo duplicado.
